i,density,velocity,potential
0,1e-18,0,0
1,0.0550082,0,0
2,0.109467,0,0
3,0.162832,0,0
4,0.21457,0,0
5,0.264163,0,0
6,0.311118,0,0
7,0.354964,0,0
8,0.395263,0,0
9,0.431613,0,0
10,0.463651,0,0
11,0.491055,0,0
12,0.513554,0,0
13,0.530921,0,0
14,0.542983,0,0
15,0.54962,0,0
16,0.550765,0,0
17,0.546407,0,0
18,0.53659,0,0
19,0.521411,0,0
20,0.501023,0,0
21,0.475628,0,0
22,0.445482,0,0
23,0.410884,0,0
24,0.37218,0,0
25,0.329758,0,0
26,0.284041,0,0
27,0.235486,0,0
28,0.184578,0,0
29,0.131826,0,0
30,0.0777571,0,0
31,0.0229109,0,0
32,-0.0321642,0,0
33,-0.0869179,0,0
34,-0.140803,0,0
35,-0.193282,0,0
36,-0.243829,0,0
37,-0.29194,0,0
38,-0.337134,0,0
39,-0.378959,0,0
40,-0.416998,0,0
41,-0.450871,0,0
42,-0.480238,0,0
43,-0.504807,0,0
44,-0.524333,0,0
45,-0.538619,0,0
46,-0.547524,0,0
47,-0.550958,0,0
48,-0.548887,0,0
49,-0.541331,0,0
50,-0.528367,0,0
51,-0.510124,0,0
52,-0.486784,0,0
53,-0.458579,0,0
54,-0.425793,0,0
55,-0.388753,0,0
56,-0.347828,0,0
57,-0.303428,0,0
58,-0.255996,0,0
59,-0.206006,0,0
60,-0.153958,0,0
61,-0.100372,0,0
62,-0.0457823,0,0
63,0.00926446,0,0
64,0.0642186,0,0
65,0.118531,0,0
66,0.171659,0,0
67,0.223072,0,0
68,0.272256,0,0
69,0.31872,0,0
70,0.362,0,0
71,0.401662,0,0
72,0.437311,0,0
73,0.468591,0,0
74,0.495188,0,0
75,0.516838,0,0
76,0.533324,0,0
77,0.544481,0,0
78,0.550197,0,0
79,0.550417,0,0
80,0.545136,0,0
81,0.534409,0,0
82,0.518343,0,0
83,0.497097,0,0
84,0.470884,0,0
85,0.439966,0,0
86,0.404653,0,0
87,0.365296,0,0
88,0.322289,0,0
89,0.276062,0,0
90,0.227077,0,0
91,0.175823,0,0
92,0.122812,0,0
93,0.0685744,0,0
94,0.0136513,0,0
95,-0.0414083,0,0
96,-0.0960541,0,0
97,-0.14974,0,0
98,-0.20193,0,0
99,-0.252102,0,0
100,-0.299756,0,0
101,-0.344414,0,0
102,-0.385631,0,0
103,-0.422995,0,0
104,-0.456132,0,0
105,-0.484712,0,0
106,-0.508449,0,0
107,-0.527106,0,0
108,-0.540496,0,0
109,-0.548485,0,0
110,-0.550995,0,0
111,-0.547998,0,0
112,-0.539527,0,0
113,-0.525665,0,0
114,-0.50655,0,0
115,-0.482374,0,0
116,-0.453379,0,0
117,-0.419853,0,0
118,-0.382132,0,0
119,-0.340594,0,0
120,-0.295652,0,0
121,-0.247756,0,0
122,-0.197384,0,0
123,-0.145041,0,0
124,-0.0912479,0,0
125,-0.0365434,0,0
126,0.0185263,0,0
127,0.0734109,0,0
128,0.127562,0,0
129,0.180438,0,0
130,0.231512,0,0
131,0.280272,0,0
132,0.326233,0,0
133,0.368933,0,0
134,0.407947,0,0
135,0.442885,0,0
136,0.473398,0,0
137,0.499181,0,0
138,0.519976,0,0
139,0.535576,0,0
140,0.545825,0,0
141,0.550619,0,0
142,0.549913,0,0
143,0.543711,0,0
144,0.532077,0,0
145,0.515127,0,0
146,0.49303,0,0
147,0.466007,0,0
148,0.434327,0,0
149,0.398308,0,0
150,0.358309,0,0
151,0.314729,0,0
152,0.268006,0,0
153,0.218604,0,0
154,0.167018,0,0
155,0.113764,0,0
156,0.0593723,0,0
157,0.00438771,0,0
158,-0.0506407,0,0
159,-0.105163,0,0
160,-0.158635,0,0
161,-0.210521,0,0
162,-0.260305,0,0
163,-0.307487,0,0
164,-0.351597,0,0
165,-0.392194,0,0
166,-0.428872,0,0
167,-0.461265,0,0
168,-0.489049,0,0
169,-0.511947,0,0
170,-0.52973,0,0
171,-0.54222,0,0
172,-0.549292,0,0
173,-0.550876,0,0
174,-0.546955,0,0
175,-0.53757,0,0
176,-0.522813,0,0
177,-0.502833,0,0
178,-0.477828,0,0
179,-0.44805,0,0
180,-0.413794,0,0
181,-0.375404,0,0
182,-0.333263,0,0
183,-0.287792,0,0
184,-0.239446,0,0
185,-0.188707,0,0
186,-0.136082,0,0
187,-0.0820985,0,0
188,-0.0272941,0,0
189,0.0277829,0,0
190,0.0825823,0,0
191,0.136557,0,0
192,0.189167,0,0
193,0.239886,0,0
194,0.288209,0,0
195,0.333652,0,0
196,0.375762,0,0
197,0.414117,0,0
198,0.448334,0,0
199,0.478072,0,0
