radius,density
0,10
0.0206122,9.99575
0.0412245,9.98303
0.0618367,9.96191
0.082449,9.93248
0.103061,9.8949
0.123673,9.84935
0.144286,9.79606
0.164898,9.73528
0.18551,9.66731
0.206122,9.59245
0.226735,9.51105
0.247347,9.42347
0.267959,9.33008
0.288571,9.23128
0.309184,9.12746
0.329796,9.01904
0.350408,8.90642
0.37102,8.79
0.391633,8.6702
0.412245,8.5474
0.432857,8.42201
0.453469,8.29439
0.474082,8.16491
0.494694,8.03392
0.515306,7.90176
0.535918,7.76875
0.556531,7.63518
0.577143,7.50135
0.597755,7.36751
0.618367,7.23391
0.63898,7.10079
0.659592,6.96834
0.680204,6.83678
0.700816,6.70626
0.721429,6.57696
0.742041,6.44901
0.762653,6.32255
0.783265,6.19769
0.803878,6.07453
0.82449,5.95315
0.845102,5.83363
0.865714,5.71605
0.886327,5.60044
0.906939,5.48685
0.927551,5.37533
0.948163,5.26589
0.968776,5.15856
0.989388,5.05334
1.01,4.95025
